,Sun01Jan
45138,
,
924,
33824,
42258,
44278,
,
960,
38387,
44350,
44268,
,
,Thu12Jan
325,
26788,
44182,
44339,
,
339,
25557,
44310,
,
345,
37240,
44343,
44214,
,
403,
37253,
44349,
,
409,
37211,
44347,
,
417,
38336,
43829,
,
431,
36737,
44221,
,
433,
37229,
44357,
,
461,
28382,i
42265,
42632,i
,
465,
37791,
42652,
44619,
,
556,
26468,
43937,
,
600,
33576,
43946,
,
638,
30936,i
42574,i
,
644,
26454,
44401,
,
648,
35459,
45146,
,
656,
36151,
45669,
,
658,
36735,
40809,
,
660,
40192,
43478,
43947,P
,
670,
39833,P
40784,P
44295,P
,
682,
33638,
44617,
,
924,
38903,
44806,
44184,
,
960,
24857,
44215,
44277,
,
,Fri13Jan
325,
33153,i
44799,i
44267,
,
345,
38365,
43481,
44616,
,
403,
27115,i
45195,i
,
409,
32112,i
45200,i
,
417,
26769,i
42663,i
,
433,
36739,
44795,
,
435,
38892,
44802,
,
461,
29445,y
26464,Ly
44194,
,
465,
38887,
42256,
42571,
,
600,
32091,
44236,
,
638,
32109,
44356,
,
644,
33849,
43403,
,
648,
36733,
45139,
,
656,
30938,i
33871,Li
,
658,
30950,i
44226,i
,
660,
37252,
43259,P
44613,
,
670,
33563,
44205,
,
682,
39840,
42262,
,
924,
33165,y
33159,Ly
40509,
,
960,
31837,
43942,
44308,
,
,Sat14Jan
303,
27477,
45499,
,
325,
32107,t
44808,
42573,t
,
345,
38366,
39693,
43829,
,
403,
26955,i
42602,i
,
409,
24573,i
42625,i
,
417,
37213,
44351,
,
433,
37139,
44345,
,
435,
32095,
44264,
,
461,
29449,i
44232,
44810,i
,
465,
38345,
42263,
44347,
,
556,
37215,
44340,
,
560,
30931,
42582,
,
600,
26310,S
44192,V
,
638,
35308,
43833,
,
644,
38370,
26775,
,
648,
33868,
45144,
,
656,
38383,
44356,
,
658,
30936,y
42567,y
,
660,
35306,
43932,
44804,P
,
682,
30952,
45148,
,
924,
20826,i
44274,
40513,i
,
960,
30951,i
25324,Li
44183,
,
,Sun15Jan
325,
37792,
44243,
44401,
,
339,
37249,
44221,
,
345,
40514,
42646,
44418,
,
403,
33579,
44357,
,
409,
33639,
44190,
,
417,
37216,
44349,
,
431,
34097,
44187,
,
461,
39147,
43938,
41929,
,
465,
36739,
44352,
44820,
,
600,
37230,
44344,
,
634,
38386,
39849,
,
638,
34098,
43931,
,
644,
37243,
42790,
,
648,
33821,
42319,
,
656,
26461,t
42565,t
,
658,
30947,t
42792,t
,
660,
36154,
42627,P
44803,
,
682,
26470,
45140,
,
924,
28376,
44800,
44305,
,
960,
37223,
44291,
44182,
,
,Mon16Jan
307,
30339,
39701,
44260,
,
325,
33155,
44802,
44268,
,
403,
38892,
44231,
,
409,
26770,i
45198,i
,
417,
26454,
44201,
,
433,
36738,
44216,
,
435,
36735,
43478,
,
461,
38369,
42780,
44237,
,
465,
37994,
45513,
44253,
,
600,
29437,i
44618,i
,
634,
39157,
43479,
,
638,
36727,
44279,
,
644,
38365,
44616,
,
648,
33572,
44815,
,
656,
37222,
